study,year,stranded,location,toxin,species,matrix,min,max,n,n_total,mean,sd,mean_est,method,c_div,sd_est
"Lefebvre, 2025",2024,yes,bering sea,STX,fur seal,GI,"21,00","45,00",4,6,"28,8","9,96","33,00",ELISA,"3,464101615","6,92820323"
"Lefebvre, 2025",2024,yes,bering sea,STX,fur seal,feces,"56,00","596,00",5,5,"245,6","222,45","326,00",ELISA,"3,464101615","155,8845727"
"Lefebvre, 2025",2024,yes,bering sea,STX,fur seal,liver,"13,00","61,00",4,6,"29,25","21,55","37,00",ELISA,"3,464101615","13,85640646"
"Lefebvre, 2025",2024,yes,bering sea,STX,fur seal,kidney,"22,00","434,00",5,6,"156,6","163,1925243","228,00",ELISA,"3,464101615","118,9341555"
"Lefebvre, 2025",2024,yes,bering sea,STX,fur seal,urine,"201,00","975,00",2,2,588,"547,3006486","588,00",ELISA,"3,464101615","223,4345542"
"Mollerup, 2024",2007,yes,"kattegart, denmark",STX,harbor seal,liver,"28,00","28,00",1,23,28,0,"28,00",LC-MS/MS,"3,464101615",0
"Mollerup, 2024",2007,yes,"kattegart, denmark",STX,harbor seal,kidney,"1,00","115,10",5,23,"50,46","47,13515037","58,05",LC-MS/MS,"3,464101615","32,93783286"
"Hendrix, 2021",2005,yes,northern alaska,DA,bearded seal,GI,"4,00","1 353,00",157,344,6,"224,8333333","678,50",ELISA,6,"224,8333333"
"Hendrix, 2021",2005,yes,northern alaska,DA,ringed seal,GI,"4,00","1 740,00",61,289,4,434,"872,00",ELISA,4,434
"Hendrix, 2021",2005,yes,northern alaska,DA,spotted seal,GI,"4,00","90,00",14,268,"3,464101615","24,82606158","47,00",ELISA,"3,464101615","24,82606158"
"Hendrix, 2021",2008,yes,northern alaska,DA,ribbon seal,GI,"4,00","33,00",1,28,"3,464101615","8,371578903","18,50",ELISA,"3,464101615","8,371578903"
"Hendrix, 2021",2005,yes,northern alaska,STX,bearded seal,GI,"4,00","464,00",96,404,6,"76,66666667","234,00",ELISA,6,"76,66666667"
"Hendrix, 2021",2005,yes,northern alaska,STX,ringed seal,GI,"4,00","180,00",47,263,4,44,"92,00",ELISA,4,44
"Hendrix, 2021",2005,yes,northern alaska,STX,spotted seal,GI,"4,00","66,00",9,257,"3,464101615","17,89785834","35,00",ELISA,"3,464101615","17,89785834"
"Hendrix, 2021",2005,yes,northern alaska,DA,bearded seal,stomach content,"2,00","138,00",9,10,"20,22","44,24","70,00",ELISA,"3,464101615","39,2598183"
"Hendrix, 2021",2005,yes,northern alaska,DA,bearded seal,colon,"4,00","887,00",9,10,"138,67","286,69","445,50",ELISA,"3,464101615","254,9001438"
"Hendrix, 2021",2005,yes,northern alaska,DA,ringed seal,stomach content,"6,00","7,00",3,5,"6,66","0,57","6,50",ELISA,"3,464101615","0,2886751346"
"Hendrix, 2021",2005,yes,northern alaska,DA,ringed seal,colon,"15,00","1 293,00",5,5,"58,06","64,55","654,00",ELISA,"3,464101615","368,926822"
"Hendrix, 2021",2005,yes,northern alaska,STX,bearded seal,colon,"3,00","108,00",4,5,"22,625","35,04","55,50",ELISA,"3,464101615","30,31088913"
"Hendrix, 2021",2005,yes,northern alaska,STX,ringed seal,colon,"4,00","180,00",8,10,"54,75","84,27","92,00",ELISA,"3,464101615","50,80682369"
"Lefebvre, 2018",NA,yes,central california coast,DA,california sea lion,amniotic fluid,"0,40","7,80",19,29,"2,168421053","2,281094433","4,10",ELISA,4,"1,85"
"Lefebvre, 2018",NA,yes,central california coast,DA,california sea lion,allantoic fluid,"0,40","26,50",6,9,"7,283333333","9,996882848","13,45",ELISA,"3,464101615","7,534421013"
"Lefebvre, 2018",NA,yes,central california coast,DA,california sea lion,urine,"0,40","5,90",4,5,"3,9","4,156119985","3,15",ELISA,"3,464101615","1,58771324"
"Lefebvre, 2018",NA,yes,central california coast,DA,california sea lion,meconium,"4,60","57,50",6,14,"7,983333333","2,27808399","31,05",ELISA,"3,464101615","15,27091462"
