date,year,month,country,location,lat,lon,count,primary_cause,source_link
2001-05,2001,5,Regional,Caspian-wide,42,"50,5",,CDV,"https://www.pinnipeds.org/seal-information/species-information-pages/the-phocid-seals/caspian-seal#:~:text=increased%20mortality%20rate%20were%20received,to%20persist%20in%20the%20seal"
2000-05,2000,5,Regional,Caspian-wide (KZ/AZ/TM),42,"50,5",10000,CDV,"https://marinemammalscience.org/facts/pusa-caspica/#:~:text=,13"
2017-04,2017,6,Turkmenistan,East coast of the Caspian Sea,"40,3","52,8",6,by-catch,https://kaspika.org/en/2018/05/01/number-of-caspian-seals-in-turkmen-sector-of-caspian-sea-2/
2021-02,2021,2,Turkmenistan,East coast of the Caspian Sea,"40,3","52,8",550,unknown,https://novastan.org/en/turkmenistan/hundreds-of-lifeless-caspian-seals-washed-ashore-in-turkmenistan/
2006-05,2006,5,Kazakhstan,Mangistau,"44,5","50,4",330,unknown ,https://www.rferl.org/a/kazakh_ecologists_investigate_caspian_seal_deaths/24096022.html
2007-04,2007,4,Kazakhstan,Mangistau,"44,5","50,4",885,unknown,https://www.reuters.com/article/economy/kazakhstans-caspian-seal-deaths-rise-to-nearly-900-idUSL07241082/
2007-04,2007,4,Kazakhstan,Mangistau,"44,5","50,4",127,unknown,https://iwpr.net/global-voices/controversy-over-caspian-seal-deaths
2009-05,2009,5,Kazakhstan,Mangistau,"44,5","50,4",312,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC3694144/
2017-04,2017,4,Kazakhstan,Mangistau,"44,5","50,4",300,mechanical trauma,"https://kaspika.org/en/2017/06/15/caspian-seals-die-due-to-icebreakers-and-poachers-nets-2/#:~:text=The%C2%A0Ministry%20of%20Agriculture%20of%20the%C2%A0Republic,was%20the%C2%A0most%20dangerous%20for%20seals"
2017-05,2017,5,Kazakhstan,Mangistau,"44,5","50,4",247,unknown ,"https://kaspika.org/en/2022/04/28/dozens-of-dead-seals-in-kazakhstan-2/#:~:text=only%20case%20of%20mass%20mortality,seals%20could%20not%20be%20identified"
2023-03,2023,3,Kazakhstan,Mangistau,"44,5","50,4",343,unknown,"https://kaspika.org/en/2023/06/09/hundreds-of-dead-caspian-seals-in-kazakhstan-2/#:~:text=In%20the%20first%20half%20of,mortality%20would%20be%20found%20out"
2024-04,2024,4,Kazakhstan,Mangistau,"44,5","50,4",209,unknown,"https://kaspika.org/en/2024/05/01/mass-stranding-of-dead-seals-causes-unknown-2/#:~:text=According%20to%20Fisheries%20Committee%2C%C2%A0Kazakhstan%20Ministry,mortality%20are%20unknown%20as%20usual"
2024-10,2024,10,Kazakhstan,Mangistau,"44,5","50,4",289,unknown,"https://kaspika.org/en/2024/10/30/stranded-on-tyub-karagan-2/#:~:text=The%20number%20of%20dead%20Caspian,animals%20had%20already%20been%20registered"
2025-04,2025,5,Kazakhstan,Mangistau,"44,5","50,4",279,unknown,"https://kaspika.org/en/2025/05/27/279-dead-caspian-seals-2/#:~:text=Once%20again%2C%20hundreds%20of%20dead,of%20monitoring%20the%20endangered%20species"
2022-04,2022,4,Kazakhstan,Mangistau,"44,5","50,4",94,unknown,https://kaspika.org/en/2022/07/28/why-is-caspian-seal-dying-2/
